iter	Passed	Remaining
557	2947	2335
558	2952	2329
559	2956	2322
560	2961	2317
561	2966	2311
562	2970	2305
563	2975	2300
564	2980	2295
565	2985	2289
566	2989	2283
567	2995	2278
568	3000	2272
569	3004	2266
570	3010	2261
571	3014	2255
572	3018	2249
573	3023	2243
574	3028	2238
575	3033	2232
576	3037	2226
577	3043	2221
578	3047	2216
579	3052	2210
580	3056	2204
581	3061	2198
582	3065	2192
583	3069	2186
584	3075	2181
585	3080	2176
586	3085	2170
587	3089	2165
588	3094	2159
589	3099	2153
590	3103	2147
591	3108	2142
592	3114	2137
593	3118	2131
594	3124	2126
595	3130	2121
596	3136	2117
597	3142	2112
598	3148	2107
599	3154	2103
600	3160	2098
601	3165	2093
602	3172	2088
603	3177	2083
604	3183	2078
605	3188	2073
606	3194	2068
607	3199	2062
608	3205	2058
609	3211	2052
610	3215	2047
611	3221	2042
612	3226	2037
613	3232	2031
614	3237	2026
615	3243	2021
616	3247	2015
617	3252	2010
618	3256	2004
619	3261	1998
620	3265	1993
621	3271	1988
622	3276	1982
623	3281	1977
624	3286	1971
625	3291	1966
626	3296	1961
627	3301	1955
628	3306	1950
629	3311	1944
630	3315	1938
631	3320	1933
632	3325	1928
633	3330	1922
634	3335	1917
635	3339	1911
636	3343	1905
637	3348	1900
638	3353	1894
639	3357	1888
640	3362	1882
641	3367	1877
642	3372	1872
643	3376	1866
644	3382	1861
645	3387	1856
646	3391	1850
647	3395	1844
648	3401	1839
649	3405	1833
650	3410	1828
651	3415	1823
652	3419	1817
653	3424	1811
654	3428	1805
655	3433	1800
656	3438	1795
657	3444	1790
658	3449	1784
659	3454	1779
660	3459	1774
661	3464	1768
662	3468	1763
663	3473	1757
664	3477	1751
665	3483	1746
666	3488	1741
667	3492	1735
668	3498	1730
669	3502	1725
670	3507	1719
671	3512	1714
672	3516	1708
673	3521	1703
674	3525	1697
675	3530	1692
676	3535	1686
677	3539	1680
678	3544	1675
679	3548	1669
680	3553	1664
681	3557	1658
682	3563	1653
683	3567	1648
684	3572	1642
685	3577	1637
686	3582	1632
687	3586	1626
688	3591	1620
689	3596	1615
690	3601	1610
691	3605	1604
692	3611	1599
693	3615	1594
694	3620	1588
695	3625	1583
696	3629	1577
697	3634	1572
698	3639	1567
699	3645	1562
700	3649	1556
701	3653	1551
702	3659	1546
703	3665	1541
704	3669	1535
705	3675	1530
706	3681	1525
707	3686	1520
708	3692	1515
709	3697	1510
710	3702	1504
711	3707	1499
712	3712	1494
713	3718	1489
714	3724	1484
715	3729	1479
716	3734	1473
717	3740	1468
718	3745	1463
719	3750	1458
720	3755	1453
721	3760	1447
722	3765	1442
723	3771	1437
724	3776	1432
725	3781	1427
726	3787	1422
727	3792	1416
728	3797	1411
729	3802	1406
730	3808	1401
731	3813	1396
732	3817	1390
733	3823	1385
734	3829	1380
735	3833	1375
736	3840	1370
737	3844	1364
738	3849	1359
739	3854	1354
740	3859	1349
741	3864	1343
742	3869	1338
743	3874	1333
744	3879	1327
745	3885	1322
746	3889	1317
747	3894	1312
748	3899	1306
749	3905	1301
