iter	RMSE
390	11604.99585
391	11577.08934
392	11555.1582
393	11530.10492
394	11507.78608
395	11500.82925
396	11470.77838
397	11464.00457
398	11441.15159
399	11430.84463
400	11409.96416
401	11394.61722
402	11374.59027
403	11354.33086
404	11337.9034
405	11313.67959
406	11307.84221
407	11295.09735
408	11277.99174
409	11258.19378
410	11236.29247
411	11209.18571
412	11194.48724
413	11176.8406
414	11164.39958
415	11158.31275
416	11141.18432
417	11137.82804
418	11115.41393
419	11094.10737
420	11069.50235
421	11047.28806
422	11028.5684
423	11020.35863
424	10999.48645
425	10974.16347
426	10956.54088
427	10950.8081
428	10931.2344
429	10911.33872
430	10889.6566
431	10876.67413
432	10862.81472
433	10856.71282
434	10838.4461
435	10818.77306
436	10790.74275
437	10778.18936
438	10762.4803
439	10746.43245
440	10725.13181
441	10701.24864
442	10688.43966
443	10686.30055
444	10666.6028
445	10663.88593
446	10640.88372
447	10617.37589
448	10602.4034
449	10577.25542
450	10558.75438
451	10552.9908
452	10537.4531
453	10526.8664
454	10505.1451
455	10483.39042
456	10467.3003
457	10449.53848
458	10447.74809
459	10439.76092
460	10433.68849
461	10416.67308
462	10411.04238
463	10397.89981
464	10389.76355
465	10371.16397
466	10354.00873
467	10332.29491
468	10318.19097
469	10301.46531
470	10298.72485
471	10258.95434
472	10229.10979
473	10214.41085
474	10192.85404
475	10173.0511
476	10168.30232
477	10144.53838
478	10120.306
479	10102.79532
480	10100.9474
481	10088.48513
482	10084.25233
483	10082.37004
484	10064.27077
485	10046.40259
486	10044.89385
487	10035.96595
488	10023.62662
489	10020.9609
490	10014.92473
491	10009.69354
492	9999.581922
493	9983.08353
494	9968.415933
495	9957.806653
496	9949.564321
497	9937.59093
498	9926.470056
499	9925.31027
500	9919.811997
501	9910.506613
502	9894.525596
503	9880.839054
504	9872.462823
505	9852.325745
506	9830.489176
507	9821.801547
508	9809.215684
509	9793.619503
510	9775.348239
511	9771.502313
512	9748.601836
513	9731.127781
514	9713.969742
515	9709.994336
516	9692.396878
517	9676.754631
518	9662.845007
519	9637.572723
520	9625.839162
521	9606.460866
522	9600.639885
523	9599.515468
524	9590.494419
525	9581.346388
526	9560.996268
527	9546.19626
528	9538.126614
529	9523.279181
530	9507.843988
531	9493.947826
532	9489.084678
533	9474.846897
534	9466.504271
535	9451.146016
536	9441.235129
537	9428.643366
538	9413.742597
539	9403.428013
540	9401.222682
541	9388.25574
542	9373.583905
543	9358.198898
544	9350.943428
545	9335.588773
546	9312.855827
547	9297.730516
548	9292.170393
549	9277.329939
550	9263.321427
551	9251.892728
552	9240.002827
553	9233.664449
554	9217.161171
555	9209.212551
556	9187.389823
557	9174.267308
558	9168.112338
559	9151.233419
560	9145.333794
561	9128.15114
562	9119.016321
563	9105.917747
564	9086.428737
565	9074.520219
566	9061.959636
567	9057.450848
568	9038.900448
569	9026.073748
570	9019.970157
571	9006.971124
572	8998.639569
573	8984.748618
574	8966.066561
575	8953.994185
576	8938.303527
577	8923.253723
578	8910.391046
579	8889.478608
580	8882.57059
581	8863.52333
582	8851.69488
583	8841.48212
584	8828.704988
585	8812.172561
586	8799.240258
587	8780.260071
588	8779.484905
589	8763.525515
590	8756.218548
591	8748.315313
592	8734.633096
593	8727.958714
594	8722.66058
595	8714.557728
596	8691.674766
597	8685.277129
598	8668.845389
599	8654.210638
600	8634.218776
601	8626.297412
602	8612.495104
603	8601.932066
604	8580.984327
605	8574.120755
606	8566.215087
607	8549.08144
608	8540.41761
609	8524.859736
610	8516.05496
611	8504.219287
612	8486.046464
613	8478.28264
614	8463.95274
615	8451.595909
616	8436.233536
617	8423.227072
618	8411.940528
619	8397.033237
620	8382.443106
621	8368.816164
622	8361.720687
623	8344.983709
624	8332.558763
625	8325.977029
626	8314.038426
627	8310.575982
628	8300.601029
629	8289.257901
630	8282.235752
631	8272.766388
632	8264.516983
633	8257.451982
634	8240.6103
635	8225.01969
636	8208.362315
637	8186.986755
638	8178.14164
639	8171.03515
640	8160.987041
641	8147.004114
642	8139.009175
643	8116.523602
644	8100.940721
645	8091.677543
646	8082.352713
647	8062.192068
648	8050.833103
649	8042.266277
650	8027.307661
651	8012.860165
652	8004.506648
653	7991.087379
654	7980.62314
655	7972.858451
656	7960.835107
657	7949.688723
658	7942.902022
659	7936.692484
660	7933.866198
661	7917.273641
662	7900.592483
663	7892.20722
664	7889.646812
665	7888.320674
666	7879.202829
667	7871.930101
668	7855.586095
669	7848.543126
670	7843.81509
671	7833.257012
672	7821.090543
673	7813.209947
674	7796.244331
675	7788.651125
676	7776.40311
677	7765.668708
678	7750.261964
679	7737.506858
680	7726.865378
681	7719.832609
682	7705.962994
683	7692.221862
684	7677.398569
685	7672.044496
686	7660.712262
687	7649.595099
688	7639.863764
689	7627.061819
690	7612.98962
691	7604.623687
692	7591.976611
693	7580.430033
694	7572.415189
695	7563.272203
696	7550.95274
697	7537.022208
698	7526.997954
699	7518.314712
700	7508.861816
701	7501.549826
702	7493.610269
703	7485.469881
704	7478.516093
705	7467.350451
706	7460.050833
707	7448.327875
708	7444.328747
709	7431.765412
710	7425.446759
711	7413.569214
712	7401.949882
713	7395.671136
714	7391.140727
715	7382.338716
716	7372.051694
717	7355.121326
718	7344.538217
719	7331.867952
720	7325.529019
721	7316.582966
722	7304.356096
723	7289.540853
724	7281.770544
725	7270.750142
726	7254.668881
727	7247.380784
728	7236.862797
729	7226.626822
730	7213.537743
731	7196.022069
732	7189.384351
733	7180.106021
734	7167.923639
735	7153.886519
736	7141.13043
737	7129.931695
738	7116.097713
739	7106.388641
740	7099.356328
741	7087.074974
742	7079.789985
743	7070.033539
744	7057.191989
745	7037.824189
746	7026.00635
747	7021.462042
748	7012.814005
749	7000.759033
750	6986.096618
751	6979.707808
752	6964.168209
753	6951.662618
754	6944.42437
755	6930.882754
756	6919.284528
757	6913.139945
758	6906.199421
759	6899.894057
760	6893.139697
761	6884.766948
762	6879.70316
763	6868.806392
764	6865.018372
765	6861.041568
766	6857.103078
767	6849.185013
768	6833.530125
769	6821.954055
770	6813.397218
771	6806.96465
772	6803.149223
773	6793.088221
774	6781.177159
775	6772.206731
776	6763.478883
777	6762.787875
778	6754.783297
779	6748.603565
780	6737.516094
781	6731.863626
782	6728.523765
783	6714.916297
784	6702.940183
785	6695.401465
786	6689.604161
787	6687.648941
788	6673.909054
789	6658.48691
790	6646.383236
791	6639.789288
792	6636.573372
793	6627.869408
794	6617.196737
795	6613.662924
796	6604.519097
797	6596.055335
798	6581.09397
799	6571.58662
800	6568.647266
801	6562.731974
802	6557.324886
803	6550.462547
804	6546.777812
805	6538.366258
806	6518.380974
807	6510.37371
808	6505.669628
809	6496.700165
810	6489.203729
811	6479.47143
812	6471.252124
813	6460.574262
814	6456.869512
815	6450.234277
816	6439.622935
817	6428.600262
818	6423.134638
819	6408.920095
820	6397.00829
821	6388.552976
822	6380.412604
823	6369.391307
824	6360.920478
825	6352.353136
826	6347.116975
827	6343.764491
828	6337.287943
829	6330.718617
830	6318.741219
831	6310.865726
832	6299.500971
833	6295.39509
834	6284.565425
835	6279.805237
836	6268.708962
837	6258.578136
838	6252.227309
839	6245.558325
840	6235.000541
841	6225.168288
842	6220.104853
843	6213.076069
844	6204.246024
845	6196.169094
846	6191.098121
847	6184.713713
848	6176.910777
849	6161.957348
850	6152.718652
851	6144.983899
852	6138.340863
853	6133.60216
854	6129.01338
855	6124.232469
856	6117.207843
857	6112.634694
858	6106.010395
859	6098.937625
860	6091.363802
861	6080.79975
862	6074.018871
863	6063.841566
864	6063.240241
865	6057.024901
866	6048.933512
867	6038.273306
868	6022.66585
869	6014.081321
870	6013.777538
871	6009.177956
872	6001.206983
873	5992.350703
874	5988.29559
875	5980.779957
876	5973.170168
877	5966.738284
878	5959.531688
879	5951.949548
880	5946.415147
881	5944.672662
882	5931.374377
883	5916.403815
884	5907.889874
885	5903.228142
886	5898.634778
887	5890.155008
888	5877.892796
889	5872.369023
890	5865.504433
891	5857.378695
892	5849.086292
893	5841.535618
894	5831.970082
895	5824.742556
896	5813.883932
897	5806.784782
898	5800.36601
899	5798.07956
900	5785.567753
901	5779.325499
902	5767.587834
903	5760.062699
904	5751.966996
905	5741.195341
906	5735.525627
907	5731.127641
908	5725.728632
909	5718.032477
910	5711.261085
911	5707.308773
912	5697.965717
913	5695.241949
914	5692.456069
915	5685.176118
916	5677.169628
917	5673.013653
918	5668.596123
919	5659.784228
920	5654.654175
921	5643.894361
922	5634.158348
923	5620.403318
924	5612.335872
925	5607.595971
926	5600.126023
927	5592.723742
928	5586.649096
929	5579.803026
930	5570.731805
931	5561.884791
932	5555.246001
933	5548.204202
934	5543.422442
935	5534.236335
936	5527.312352
937	5523.562407
938	5517.209703
939	5512.742569
940	5500.985934
941	5496.904963
942	5491.67982
943	5484.553805
944	5480.272046
945	5475.245282
946	5470.965805
947	5461.016492
948	5454.540374
949	5454.040377
950	5453.822078
951	5440.960429
952	5435.577271
953	5430.138334
954	5422.525193
955	5416.248133
956	5413.042794
957	5401.106866
958	5391.033456
959	5385.142971
960	5377.081128
961	5367.29912
962	5363.429015
963	5358.161685
964	5351.106615
965	5343.271617
966	5339.336337
967	5330.688353
968	5327.168694
969	5322.692669
970	5313.52286
971	5307.730084
972	5302.971009
973	5299.316636
974	5295.123394
975	5287.680356
976	5282.431774
977	5276.907052
978	5267.684833
979	5261.725068
980	5252.113054
981	5242.733343
982	5234.242514
983	5228.786326
984	5218.170167
985	5207.745171
986	5204.452341
987	5195.286528
988	5187.100622
989	5183.628792
990	5176.816399
991	5173.217947
992	5161.606899
993	5153.679324
994	5148.566509
995	5147.191415
996	5140.878178
997	5131.300292
998	5123.509807
999	5121.841522
